sample number,price (Rp.),total nutrition (g)
16,4200,45.983
14,4900,34.472
8,5500,33.057
7,5500,32.578
9,5500,34.648
10,5500,36.578
11,5500,30.653
25,12900,34.560
32,3000,20.817
33,3000,19.322
12,4900,32.134
6,5500,26.693
13,4900,27.410
15,4200,31.708
19,5500,25.256
20,5500,31.216
21,4200,23.528
22,4200,22.593
23,5400,29.763
26,4400,30.093
27,4400,27.470
24,6700,32.639
2,9600,34.251
28,8000,40.993
29,8000,40.832
30,8000,40.927
31,8000,39.947
17,6900,30.714
1,9600,22.084
3,9600,23.584
4,9600,21.663
